question,topic,intent,difficulty,answer
Could you explain interpretability to me?,Machine Learning,interpretability,Advanced,"Understanding why model makes predictions. Methods: SHAP values, LIME, feature importance, partial dependence plots. Important for trust and debugging."
interpretability definition,Machine Learning,interpretability,Advanced,"Understanding why model makes predictions. Methods: SHAP values, LIME, feature importance, partial dependence plots. Important for trust and debugging."
What exactly is constructor?,Object-Oriented Programming,constructor,Intermediate,Special method called when object is created. Initializes object state. Name matches class name. No return type.
Show me how to use fairness in ML,Machine Learning,fairness in ML,Advanced,"Ensuring models don't discriminate based on protected attributes. Metrics: demographic parity, equalized odds. Techniques: re-weighting, adversarial debiasing."
What does derivative mean?,Mathematics for AI,derivative,Beginner,Rate of change of function. Used in gradient descent to minimize loss. Computed via backpropagation in neural networks.
Help me understand LRU cache,Data Structures,LRU cache,Advanced,Cache that evicts least recently used items when full. Implemented with hash map + doubly linked list. O(1) operations.
What are the key concepts of gradient descent?,Deep Learning,gradient descent,Beginner,Optimization algorithm that updates weights to minimize loss. Moves in direction of negative gradient. Learning rate controls step size.
Explain neural ODE,Deep Learning,neural ODE,Advanced,Neural Ordinary Differential Equations model continuous transformations. Layers are ODE solvers. Memory-efficient training. Used in irregular time series.
How can I use DevOps?,DevOps,DevOps,Intermediate,"Culture combining development and operations. Automates deployment, monitoring. Principles: collaboration, automation, continuous improvement. Speeds delivery."
Help me understand vector,Mathematics for AI,vector,Beginner,"Ordered array of numbers representing magnitude and direction. Used for features, gradients. Operations: addition, dot product, cross product."
Tell me about time series forecasting,Machine Learning,time series forecasting,Advanced,"Predicting future values based on temporal data. Methods: ARIMA, exponential smoothing, LSTM networks. Considers trends, seasonality, autocorrelation."
Tell me about AJAX,Web Development,AJAX,Intermediate,Asynchronous JavaScript And XML enables updating pages without reload. Uses XMLHttpRequest or Fetch API. Improves user experience.
I want to learn about type conversion,Python Basics,type conversion,Beginner,"Convert between types: int(), float(), str(), list(), tuple(), set(), dict(). Example: int('42') converts string to integer 42."
I want to learn about DevOps,DevOps,DevOps,Intermediate,"Culture combining development and operations. Automates deployment, monitoring. Principles: collaboration, automation, continuous improvement. Speeds delivery."
How can I use slots?,Python Programming,slots,Advanced,Using __slots__ to declare fixed set of attributes. Saves memory and improves attribute access speed.
BFS definition,Algorithms,BFS,Intermediate,Breadth-First Search explores graph level by level using queue. Finds shortest path in unweighted graphs. O(V+E) time.
Help me understand dynamic programming,Algorithms,dynamic programming,Intermediate,"Optimization technique that breaks problem into overlapping subproblems. Stores results to avoid recomputation. Examples: Fibonacci, knapsack."
Explain coroutine,Python Programming,coroutine,Advanced,A function defined with 'async def' that can pause execution with 'await'. Used in asynchronous programming.
Why should I learn staticmethod?,Python Programming,staticmethod,Intermediate,"A method that doesn't receive implicit first argument (self or cls). Defined with @staticmethod. Belongs to class, not instances."
How can I use authentication?,Cybersecurity,authentication,Intermediate,"Verifying identity. Methods: passwords, biometrics, two-factor. Should be strong and protected."
Help me understand JavaScript,Web Development,JavaScript,Intermediate,"Programming language that adds interactivity to web pages. Runs in browser. Manipulates DOM, handles events, makes API calls. Core of modern web."
Help me understand stack,Data Structures,stack,Beginner,"LIFO (Last In First Out) data structure. Operations: push (add), pop (remove), peek (view top). Used in recursion, undo mechanisms."
I need to understand orchestration,DevOps,orchestration,Intermediate,"Automating deployment, scaling, management of containers. Kubernetes is most popular. Handles load balancing, self-healing, rolling updates."
What is time series forecasting?,Machine Learning,time series forecasting,Advanced,"Predicting future values based on temporal data. Methods: ARIMA, exponential smoothing, LSTM networks. Considers trends, seasonality, autocorrelation."
How do you implement lemmatization?,Natural Language Processing,lemmatization,Intermediate,Reducing words to dictionary form using vocabulary and morphological analysis. More accurate than stemming. Example: better → good.
I want to learn about technical debt,Software Engineering,technical debt,Intermediate,Cost of quick solutions that make future changes harder. Accumulates over time. Should be managed and paid down regularly.
Explain dynamic programming,Algorithms,dynamic programming,Intermediate,"Optimization technique that breaks problem into overlapping subproblems. Stores results to avoid recomputation. Examples: Fibonacci, knapsack."
I want to learn about microservices,Cloud Computing,microservices,Intermediate,Architectural style with loosely coupled services. Each service handles specific function. Independent deployment. Scales independently.
I want to learn about naive bayes,Machine Learning,naive bayes,Intermediate,"Probabilistic classifier based on Bayes' theorem with independence assumption. Fast and works well with high dimensions. Used in spam filtering, text classification."
How does binary search work?,Algorithms,binary search,Intermediate,"Divide-and-conquer algorithm for finding element in sorted array. Compares middle element, eliminates half the search space. O(log n) time."
What do you mean by property?,Python Programming,property,Intermediate,A decorator that allows methods to be accessed like attributes. Provides controlled access to class attributes.
Tell me about object detection,Computer Vision,object detection,Intermediate,"Locating and classifying objects in image. Outputs bounding boxes and labels. Algorithms: YOLO, Faster R-CNN, SSD."
Can you describe GRU?,Deep Learning,GRU,Intermediate,"Gated Recurrent Unit is simplified LSTM with fewer parameters. Two gates: reset and update. Faster training, similar performance to LSTM."
Define class,Python Basics,class,Beginner,A blueprint for creating objects. Defined with the 'class' keyword. Contains attributes (data) and methods (functions).
